"ticker";"ultimo";"previo";"repercusion"
"^RVX";18.22;18.56;-1.83189655172414
"^VIN";18.63;18.93;-1.58478605388273
"^VIX";18.63;19.08;-2.35849056603773
"^VXD";16.13;16.45;-1.94528875379939
"^VXN";22.95;23.62;-2.83657917019476
"0700.HK";370.2;368.6;0.434074877916431
"0A4J.L";80.34;81.075;-0.906567992599444
"0l2T.L";57.6;61.2;-5.88235294117647
"0QPY.IL";298.55;297.4;0.386684599865513
"13X.F";0.3444;0.3384;1.77304964539007
"2413.T";1308;1346.5;-2.85926476049016
"2502.T";5437;5581;-2.58018276294571
"3382.T";2120;2182;-2.84142988084326
"3690.HK";119.4;118.9;0.420521446593776
"4021.T";4843;4935;-1.86423505572442
"4063.T";5504;5573;-1.2381123272923
"4091.T";5093;5083;0.196734212079481
"4452.T";6894;7017;-1.75288584865327
"4502.T";4195;4267;-1.68736817436138
"4503.T";1779;1791;-0.670016750418761
"4516.T";3385;3436;-1.48428405122235
"4519.T";6480;6584;-1.57958687727825
"4543.T";2533;2597.5;-2.48315688161694
"4568.T";5201;5275;-1.40284360189573
"4901.T";3769;3810;-1.0761154855643
"5GR.F";33.65;32.9;2.27963525835866
"6098.T";8425;8522;-1.13823046233279
"6301.T";3668;3658;0.273373428102788
"6367.T";16790;16925;-0.797636632200886
"6383.T";2561.5;2557.5;0.156402737047898
"6501.T";3254;3300;-1.39393939393939
"6645.T";5730;5757;-0.468994267847837
"6752.T";1207.5;1213.5;-0.494437577255871
"6758.T";13160;13195;-0.26525198938992
"6762.T";8708;8938;-2.57328261356008
"6857.T";5763;5899;-2.30547550432277
"6861.T";63430;63470;-0.0630219001102883
"6902.T";1966;2028;-3.05719921104536
"6954.T";3722;3800;-2.05263157894737
"6971.T";1672;1691.5;-1.15282293822051
"6976.T";2859.5;2984.5;-4.18830624895292
"6UY.F";5.09;5.115;-0.488758553274689
"7203.T";2422;2499.5;-3.10062012402481
"7267.T";1441.5;1486.5;-3.02724520686176
"7272.T";1196.5;1213;-1.36026380873866
"7352.T";795;808;-1.60891089108911
"7733.T";2500.5;2529.5;-1.14647163471042
"7741.T";18750;19015;-1.39363660268209
"7832.T";3171;3254;-2.55070682237246
"7974.T";7539;7695;-2.02729044834308
"8001.T";7435;7572;-1.80929741151611
"8031.T";2837;2826;0.389242745930644
"8035.T";22210;22260;-0.224618149146451
"8058.T";2780;2861.5;-2.8481565612441
"8766.T";5028;5110;-1.60469667318982
"8830.T";4666;4760;-1.97478991596639
"8H1.BE";30.8;31.2;-1.28205128205128
"9433.T";4739;4824;-1.7620232172471
"9613.T";2283;2343;-2.56081946222791
"9715.T";3515;3480;1.00574712643678
"9735.T";10870;10990;-1.0919017288444
"9983.T";42900;43640;-1.69569202566453
