"ticker";"idorden";"nada";"fondo";"accion";"porcentaje";"mes";"ano";"id";"ultimo";"previo";"repercusion";"diahora"
"^RVX";NA;"";"ZVSTOXX";"RUSSEL 2000";10;"Diciembre";2023;1;18.22;18.56;-18.3189655172414;2024-09-11 12:54:50
"^VIN";NA;"";"ZVSTOXX";"VIN";10;"Diciembre";2023;2;18.63;18.93;-15.8478605388273;2024-09-11 12:54:50
"^VIX";15;"";"ZVIX";"^VIX";10;"Diciembre";2023;3;18.63;19.08;-23.5849056603773;2024-09-11 12:54:50
"^VXD";NA;"";"ZVSTOXX";"DOW JONES";10;"Diciembre";2023;4;16.13;16.45;-19.4528875379939;2024-09-11 12:54:50
"^VXN";15;"";"ZVXN";"NASDAQ";10;"Diciembre";2023;5;22.95;23.62;-28.3657917019476;2024-09-11 12:54:50
"0700.HK";31;"";"TECNOLOGICO";"TENCENT HOLDINGS HKD 6.689 1,69 -- --";0.93;"Diciembre";2023;6;370.2;368.6;0.403689636462281;2024-09-11 12:54:50
"0700.HK";31;"Estimado";"GLOBAL";"TENCENT HOLDINGS HKD 8.027 1,45 -- --";2.49;"Agosto";2023;6;370.2;368.6;1.08084644601191;2024-09-11 12:54:50
"0A4J.L";NA;"";"GLOBAL";"ASTRAZENECA GBP 4.884 0,99 -- --";0.99;"Diciembre";2023;7;80.34;81.075;-0.89750231267345;2024-09-11 12:54:50
"0l2T.L";31;"";"NEWENERGY";"SAMSUNG SDI CO EUR 1.215 2,63 -- --";2.63;"Diciembre";2023;8;57.6;61.2;-15.4705882352941;2024-09-11 12:54:50
"0QPY.IL";NA;"";"BOLSAEUROPA";"SONOVA HOLDING AG CHF 767 0,96 1.244 1,19";0.96;"Diciembre";2023;9;298.55;297.4;0.371217215870892;2024-09-11 12:54:50
"13X.F";31;"";"NEWENERGY";"XINYI SOLAR HOLDINGS HKD 1.191 2,18 -- --";0.93;"Diciembre";2023;10;0.3444;0.3384;1.64893617021277;2024-09-11 12:54:50
"2413.T";31;"";"JAPON";"M3 INC JPY 307 2,28 206 1,60";1.66;"Diciembre";2023;11;1308;1346.5;-4.74637950241366;2024-09-11 12:54:50
"2502.T";31;"";"JAPON";"ASAHI GROUP HOLDINGS JPY 610 0,67 268 0,49";1.12;"Diciembre";2023;12;5437;5581;-2.88980469449919;2024-09-11 12:54:50
"3382.T";31;"";"JAPON";"SEVEN_HOLDINGS JPY 1.202 1,31 750 1,37";1.39;"Diciembre";2023;13;2120;2182;-3.94958753437214;2024-09-11 12:54:50
"3690.HK";NA;"";"GLOBAL";"MEITUAN HKD 388 0,07 -- --";0.05;"Diciembre";2023;14;119.4;118.9;0.0210260723296888;2024-09-11 12:54:50
"3690.HK";NA;"";"TECNOLOGICO";"MEITUAN HKD 194 0,04 -- --";0.03;"Diciembre";2023;14;119.4;118.9;0.0126156433978133;2024-09-11 12:54:50
"4021.T";NA;"";"JAPON";"NISSAN CHIMICAL JPY 63 0,70 71 0,64";0.7;"Diciembre";2023;15;4843;4935;-1.30496453900709;2024-09-11 12:54:50
"4063.T";31;"";"JAPON";"SHIN-ETSU CHEMICAL JPY 2.220 2,43 640 1,17";3.42;"Agosto";2024;16;5504;5573;-4.23434415933967;2024-09-11 12:54:50
"4091.T";31;"";"JAPON";"NIPPON SANSO HOLDING JPY 482 0,61 456 0,56";1.34;"Diciembre";2023;17;5093;5083;0.263623844186504;2024-09-11 12:54:50
"4452.T";31;"";"JAPON";"KAO CORP JPY 844 0,92 566 1,03";1.44;"Diciembre";2023;18;6894;7017;-2.52415562206071;2024-09-11 12:54:50
"4502.T";31;"";"SANIDAD";"TAKEDA JPY 2.758 0,65 2.663 0,65";0.48;"Diciembre";2023;19;4195;4267;-0.809936723693461;2024-09-11 12:54:50
"4503.T";31;"";"JAPON";"ASTELLAS PHARMA INC JPY 1.179 1,29 478 0,87";1.8;"Diciembre";2023;20;1779;1791;-1.20603015075377;2024-09-11 12:54:50
"4516.T";31;"";"JAPON";"NIPPON SHINYAKU JPY 469 0,60 522 0,64";0.53;"Diciembre";2023;21;3385;3436;-0.786670547147846;2024-09-11 12:54:50
"4519.T";NA;"";"JAPON";"CHUGAI PHARMA JPY 130 1,18 120 0,77";1.82;"Diciembre";2023;22;6480;6584;-2.87484811664642;2024-09-11 12:54:50
"4543.T";15;"Estimado";"JAPON";"TERUMO JPY 2.416 2,65 3.285 3,40";2.36;"Mayo";2024;23;2533;2597.5;-5.86025024061598;2024-09-11 12:54:50
"4568.T";16;"Estimado";"JAPON";"DAIICHI SANKYO JPY 1.067 1,17 --";2.21;"Diciembre";2023;24;5201;5275;-3.10028436018957;2024-09-11 12:54:50
"4901.T";31;"";"JAPON";"FUJIFILM HOLDINGS JPY 94 0,60 665 0,82";1.81;"Diciembre";2023;25;3769;3810;-1.94776902887139;2024-09-11 12:54:50
"5GR.F";NA;"";"NEWENERGY";"GRENERGY RENOVABLES EUR 1.370 2,96 -- --";2.96;"Febrero";2024;26;33.65;32.9;6.74772036474164;2024-09-11 12:54:50
"5GR.F";NA;"";"SMALLCAPS";"GRENERGY RENOVABLES EUR 443 0,36 -- --";0.36;"Diciembre";2023;26;33.65;32.9;0.820668693009119;2024-09-11 12:54:50
"6098.T";31;"";"JAPON";"RECRUIT HOLDINGS JPY 1.788 1,95 648 1,18";3.01;"Agosto";2024;27;8425;8522;-3.42607369162168;2024-09-11 12:54:50
"6301.T";31;"";"JAPON";"KOMATSU LTD JPY 423 0,54 486 0,60";1.05;"Diciembre";2023;28;3668;3658;0.287042099507928;2024-09-11 12:54:50
"6367.T";31;"";"JAPON";"DAIKIN INDUSTRIES JPY 431 3,21 390 3,04";2.53;"Agosto";2024;29;16790;16925;-2.01802067946824;2024-09-11 12:54:50
"6383.T";31;"";"JAPON";"DAIFUKU JPY 1.001 1,09 272 0,50";1.22;"Diciembre";2023;30;2561.5;2557.5;0.190811339198436;2024-09-11 12:54:50
"6501.T";31;"";"JAPON";"HITACHI JPY 1.079 1,18 256 0,47";0.94;"Diciembre";2023;31;3254;3300;-1.31030303030303;2024-09-11 12:54:50
"6645.T";31;"";"JAPON";"OMRON CORPORATION JPY 91 0,58 -- --";0.94;"Diciembre";2023;32;5730;5757;-0.440854611776967;2024-09-11 12:54:50
"6752.T";31;"";"NEWENERGY";"PANASONIC CORP JPY 1.096 2,01 -- --";1.93;"Diciembre";2023;33;1207.5;1213.5;-0.954264524103832;2024-09-11 12:54:50
"6758.T";31;"";"JAPON";"SONY GROUP JPY 2.499 2,73 1.379 2,52";2.33;"Diciembre";2023;34;13160;13195;-0.618037135278515;2024-09-11 12:54:50
"6762.T";31;"";"JAPON";"TDK JPY 1.652 1,81 797 1,46";3.6;"Agosto";2024;35;8708;8938;-9.26381740881629;2024-09-11 12:54:50
"6857.T";31;"";"JAPON";"ADVANTEST JPY 2.384 2,61 549 1,00";4.42;"Agosto";2024;36;5763;5899;-10.1902017291066;2024-09-11 12:54:50
"6861.T";NA;"";"BOLSAINTERNACIONAL";"KEYENCE CORP JPY 1.588 0,58 -- --";0.58;"Diciembre";2023;37;63430;63470;-0.0365527020639672;2024-09-11 12:54:50
"6861.T";31;"";"JAPON";"KEYENCE CORP JPY 1.354 1,48 640 1,17";1.32;"Diciembre";2023;37;63430;63470;-0.0831889081455806;2024-09-11 12:54:50
"6902.T";31;"";"JAPON";"DENSO JPY 792 0,87 -- --";1.51;"Diciembre";2023;38;1966;2028;-4.6163708086785;2024-09-11 12:54:50
"6954.T";15;"";"JAPON";"FANUC JPY 234 1,74 228 1,77";2.37;"Mayo";2024;39;3722;3800;-4.86473684210526;2024-09-11 12:54:50
"6971.T";31;"";"JAPON";"KYOCERA CORP JPY 2.433 2,66 1.347 2,46";2.05;"Diciembre";2023;40;1672;1691.5;-2.36328702335205;2024-09-11 12:54:50
"6976.T";31;"";"JAPON";"TAIYO YUDEN CO JPY 482 3,59 319 2,48";0.73;"Diciembre";2023;41;2859.5;2984.5;-3.05746356173563;2024-09-11 12:54:50
"6UY.F";15;"";"SMALLCAPS";"ALLFUNDS GROUP EUR 1.984 1,60";2.12;"Agosto";2024;42;5.09;5.115;-1.03616813294234;2024-09-11 12:54:50
"7203.T";NA;"";"DIVIDENDO";"TOYOTA MOTOR JPY 4.386 1,34 3.890 1,13";1.34;"Diciembre";2023;43;2422;2499.5;-4.15483096619324;2024-09-11 12:54:50
"7203.T";31;"Estimado";"NEWENERGY";"TOYOTA MOTOR JPY 796 1,46 -- --";2.98;"Junio";2023;43;2422;2499.5;-9.23984796959392;2024-09-11 12:54:50
"7203.T";15;"";"JAPON";"TOYOTA MOTOR JPY 2.622 2,88 2.587 2,68";1.84;"Diciembre";2023;43;2422;2499.5;-5.70514102820564;2024-09-11 12:54:50
"7267.T";31;"";"JAPON";"HONDA MOTOR JPY 869 0,95 -- --";1.25;"Diciembre";2023;44;1441.5;1486.5;-3.7840565085772;2024-09-11 12:54:50
"7272.T";31;"";"JAPON";"YAMAHA MOTOR JPY 454 0,56 -- --";1.07;"Diciembre";2023;45;1196.5;1213;-1.45548227535037;2024-09-11 12:54:50
"7352.T";NA;"";"BOLSAINTERNACIONAL";"SONY GROUP JPY 2.142 0,78 -- --";0.78;"Diciembre";2023;46;795;808;-1.25495049504951;2024-09-11 12:54:50
"7733.T";31;"";"JAPON";"OLYMPUS CORP JPY 970 1,06 356 0,65";1.88;"Diciembre";2023;47;2500.5;2529.5;-2.15536667325558;2024-09-11 12:54:50
"7741.T";31;"";"JAPON";"HOYA JPY 901 0,98 225 0,41";1.25;"Diciembre";2023;48;18750;19015;-1.74204575335262;2024-09-11 12:54:50
"7832.T";31;"";"JAPON";"BANDAI NAMCO HOLDING JPY 1.033 1,13 422 0,77";1.51;"Diciembre";2023;49;3171;3254;-3.85156730178242;2024-09-11 12:54:50
"7974.T";31;"";"JAPON";"NINTENDO JPY 809 0,88 623 1,14";1.83;"Diciembre";2023;50;7539;7695;-3.70994152046784;2024-09-11 12:54:50
"7974.T";31;"";"TECNOLOGICO";"NINTENDO JPY 3.331 0,84 3.634 1,02";0.66;"Diciembre";2023;50;7539;7695;-1.33801169590643;2024-09-11 12:54:50
"8001.T";16;"Estimado";"JAPON";"ITOCHU CORP JPY 387 2,88 313 2,44";1.64;"Diciembre";2023;51;7435;7572;-2.96724775488642;2024-09-11 12:54:50
"8031.T";15;"";"JAPON";"MITSUI JPY 1.418 1,55 894 1,64";1.32;"Diciembre";2023;52;2837;2826;0.51380042462845;2024-09-11 12:54:50
"8035.T";31;"";"JAPON";"TOKYO ELECTRON JPY 636 4,74 400 3,11";5.67;"Agosto";2024;53;22210;22260;-1.27358490566038;2024-09-11 12:54:50
"8058.T";31;"";"JAPON";"MITSUBISHI CORP JPY 755 0,96 766 0,94";1.68;"Diciembre";2023;54;2780;2861.5;-4.78490302289009;2024-09-11 12:54:50
"8766.T";NA;"";"JAPON";"TOKIO MARINE HOLDING JPY 126 1,14 121 0,77";1.5;"Diciembre";2023;55;5028;5110;-2.40704500978474;2024-09-11 12:54:50
"8830.T";31;"";"JAPON";"SUMITOMO REALTY DEVE JPY 705 0,87 728 0,75";1.19;"Diciembre";2023;56;4666;4760;-2.35;2024-09-11 12:54:50
"8H1.BE";31;"";"SECTORINMOBILIARIO";"HYDRO ONE CAD EUR";2.04;"Diciembre";2023;57;30.8;31.2;-2.61538461538461;2024-09-11 12:54:50
"9433.T";31;"";"JAPON";"KDDI JPY 2.510 2,76 2.195 2,27";3.92;"Agosto";2024;58;4739;4824;-6.90713101160862;2024-09-11 12:54:50
