"fondo";"ticker";"porcentaje"
"ZVSTOXX";"^RVX";10
"ZVSTOXX";"^VIN";10
"ZVIX";"^VIX";10
"ZVSTOXX";"^VXD";10
"ZVXN";"^VXN";10
"TECNOLOGICO";"0700.HK";0.93
"GLOBAL";"0700.HK";2.49
"GLOBAL";"0A4J.L";0.99
"NEWENERGY";"0l2T.L";2.63
"BOLSAEUROPA";"0QPY.IL";0.96
"NEWENERGY";"13X.F";0.93
"JAPON";"2413.T";1.66
"JAPON";"2502.T";1.12
"JAPON";"3382.T";1.39
"GLOBAL";"3690.HK";0.05
"TECNOLOGICO";"3690.HK";0.03
"JAPON";"4021.T";0.7
"JAPON";"4063.T";3.42
"JAPON";"4091.T";1.34
"JAPON";"4452.T";1.44
"SANIDAD";"4502.T";0.48
"JAPON";"4503.T";1.8
"JAPON";"4516.T";0.53
"JAPON";"4519.T";1.82
"JAPON";"4543.T";2.36
"JAPON";"4568.T";2.21
"JAPON";"4901.T";1.81
"NEWENERGY";"5GR.F";2.96
"SMALLCAPS";"5GR.F";0.36
"JAPON";"6098.T";3.01
"JAPON";"6301.T";1.05
"JAPON";"6367.T";2.53
"JAPON";"6383.T";1.22
"JAPON";"6501.T";0.94
"JAPON";"6645.T";0.94
"NEWENERGY";"6752.T";1.93
"JAPON";"6758.T";2.33
"JAPON";"6762.T";3.6
"JAPON";"6857.T";4.42
"BOLSAINTERNACIONAL";"6861.T";0.58
"JAPON";"6861.T";1.32
"JAPON";"6902.T";1.51
"JAPON";"6954.T";2.37
"JAPON";"6971.T";2.05
"JAPON";"6976.T";0.73
"SMALLCAPS";"6UY.F";2.12
"DIVIDENDO";"7203.T";1.34
"NEWENERGY";"7203.T";2.98
"JAPON";"7203.T";1.84
"JAPON";"7267.T";1.25
"JAPON";"7272.T";1.07
"BOLSAINTERNACIONAL";"7352.T";0.78
"JAPON";"7733.T";1.88
"JAPON";"7741.T";1.25
"JAPON";"7832.T";1.51
"JAPON";"7974.T";1.83
"TECNOLOGICO";"7974.T";0.66
"JAPON";"8001.T";1.64
"JAPON";"8031.T";1.32
"JAPON";"8035.T";5.67
"JAPON";"8058.T";1.68
"JAPON";"8766.T";1.5
"JAPON";"8830.T";1.19
"SECTORINMOBILIARIO";"8H1.BE";2.04
"JAPON";"9433.T";3.92
"JAPON";"9613.T";1.07
"JAPON";"9715.T";0.96
"JAPON";"9735.T";1.12
"JAPON";"9983.T";9.32
"JAPON";"9984.T";4.2
"SANIDAD";"A";0.53
"FINANCIERO";"A5G.IR";2.33
"FINANCIERO";"AAGIY";0.99
"GLOBAL";"AAPL";2.51
"TECNOLOGICO";"AAPL";8.31
"BOLSAINTERNACIONAL";"AAPL";5.38
"BOLSAUSA";"AAPL";6.66
"MEGATRENDS";"AAPL";3.51
"BOLSAEUROPA";"ABBN.SW";0.65
"BOLSAINTERNACIONAL";"ABBV";0.92
"BOLSAUSA";"ABBV";1.16
"SANIDAD";"ABBV";2.49
"DIVIDENDO";"ABBV";2.14
"GLOBAL";"ABT";1.01
"BOLSAUSA";"ABT";0.95
"SANIDAD";"ABT";1.5
"ALPHA";"AC.PA";4.73
"SMALLCAPS";"ACLN.SW";0.81
"BOLSAUSA";"ACN";0.81
"MEGATRENDS";"ACN";2.86
"BOLSAINTERNACIONAL";"ACN";0.75
"TECNOLOGICO";"ACN";2.74
"NEWENERGY";"ACN";2.69
"SMALLCAPS";"ACX.MC";3.36
"BOLSAUSA";"ADBE";0.76
"GLOBAL";"ADBE";1.21
"BOLSAINTERNACIONAL";"ADBE";1.36
"TECNOLOGICO";"ADBE";2.4
"FINANCIERO";"ADM.L";1.29
"BESTIDEAS";"ADP";3.101818696
"BOLSAINTERNACIONAL";"ADS.DE";0.5
"TECNOLOGICO";"ADYEN.AS";0.75
"BOLSAEUROPA";"ADYEN.AS";1.07
"SECTORINMOBILIARIO";"AED.BR";2.05
"BESTIDEAS";"AEM";3.106642876
"SECTORINMOBILIARIO";"AENA.MC";1.55
"MEGATRENDS";"AGCO";1.91
"FINANCIERO";"AGN.AS";2.14
"SANIDAD";"ALC.SW";0.44
"MEGATRENDS";"ALFEN.AS";1.83
"BOLSAESPANA";"ALM.MC";0.79
"DIVIDENDO";"ALV.DE";2.35
"BOLSAEUROPA";"ALV.DE";1.21
"FINANCIERO";"ALV.DE";3.01
"BOLSAINTERNACIONAL";"ALV.DE";0.88
"BOLSAUSA";"AMG.F";0.52
"SANIDAD";"AMGN";2.46
"SECTORINMOBILIARIO";"AMH";2.43
"SECTORINMOBILIARIO";"AMT";3.91
"BOLSAINTERNACIONAL";"AMT";0.71
"BOLSAUSA";"AMT";0.4
"DIVIDENDO";"AMUN.PA";2.7
