dia;fondo;n;peso;Var_Por;actualizacion;n_menos2_5;n_menos1_5;n_mas1_5;porc_menos2_5;porc_menos1_5;porc_mas1_5
2024-09-11;ALPHA;1;4.73;0.0401;2024-09-11 12:58:10.572231;0;0;0;0.0;0.0;0.0
2024-09-11;BESTIDEAS;25;100.00009999999997;0.3868;2024-09-11 12:58:10.572231;0;3;3;0.0;0.12;0.12
2024-09-11;BOLSAESPANA;32;94.44;0.34429999999999994;2024-09-11 12:58:10.572231;0;4;3;0.0;0.12;0.09
2024-09-11;BOLSAEUROPA;58;88.36999999999996;0.19800000000000004;2024-09-11 12:58:10.573228;0;4;5;0.0;0.07;0.09
2024-09-11;BOLSAINTERNACIONAL;75;92.06000000000004;0.24710000000000001;2024-09-11 12:58:10.574226;1;11;8;0.01;0.15;0.11
2024-09-11;BOLSAUSA;77;95.23000000000005;0.28970000000000024;2024-09-11 12:58:10.575224;0;12;5;0.0;0.16;0.06
2024-09-11;DIVIDENDO;43;92.46000000000002;-0.2617;2024-09-11 12:58:10.575224;1;6;2;0.02;0.14;0.05
2024-09-11;FINANCIERO;35;91.09;-0.2487999999999999;2024-09-11 12:58:10.575224;0;3;2;0.0;0.09;0.06
2024-09-11;GLOBAL;49;95.46999999999997;0.19230000000000008;2024-09-11 12:58:10.576220;0;4;6;0.0;0.08;0.12
2024-09-11;JAPON;46;93.83999999999999;-1.3664999999999998;2024-09-11 12:58:10.576220;11;23;0;0.24;0.5;0.0
2024-09-11;MEGATRENDS;38;98.86000000000006;1.3439000000000003;2024-09-11 12:58:10.577218;1;3;8;0.03;0.08;0.21
2024-09-11;NEWENERGY;38;96.39999999999998;0.9932000000000001;2024-09-11 12:58:10.577218;3;3;10;0.08;0.08;0.26
2024-09-11;SANIDAD;51;103.64999999999999;0.09910000000000017;2024-09-11 12:58:10.578215;0;6;4;0.0;0.12;0.08
2024-09-11;SECTORINMOBILIARIO;48;96.35000000000001;-0.28180000000000016;2024-09-11 12:58:10.578215;0;3;3;0.0;0.06;0.06
2024-09-11;SMALLCAPS;68;97.45000000000003;-0.3069999999999999;2024-09-11 12:58:10.579242;3;10;4;0.04;0.15;0.06
2024-09-11;TECNOLOGICO;38;94.6;0.9682;2024-09-11 12:58:10.579242;0;3;6;0.0;0.08;0.16
2024-09-11;ZVIX;1;10.0;-0.2987;2024-09-11 12:58:10.579242;1;1;0;1.0;1.0;0.0
2024-09-11;ZVSTOXX;3;30.0;-0.6839999999999999;2024-09-11 12:58:10.579242;1;3;0;0.33;1.0;0.0
2024-09-11;ZVXN;1;10.0;-0.3218;2024-09-11 12:58:10.579242;1;1;0;1.0;1.0;0.0
